method,display_name,true_class,pred_class,count
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pale_pink,over_ripe,2
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pale_pink,pink_turns_purple,20
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pink_turns_purple,fully_ripe,25
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pink_turns_purple,green_immature,3
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pink_turns_purple,over_ripe,11
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pink_turns_purple,pale_pink,16
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),fully_ripe,green_immature,35
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),fully_ripe,over_ripe,91
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),fully_ripe,pink_turns_purple,15
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),green_immature,fully_ripe,59
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),green_immature,over_ripe,5
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),green_immature,pale_pink,17
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),green_immature,pink_turns_purple,3
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),over_ripe,fully_ripe,96
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),over_ripe,green_immature,1
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),over_ripe,pale_pink,2
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),over_ripe,pink_turns_purple,4
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pale_pink,green_immature,18
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pale_pink,over_ripe,1
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pale_pink,pink_turns_purple,27
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pink_turns_purple,fully_ripe,34
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pink_turns_purple,green_immature,5
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pink_turns_purple,over_ripe,3
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pink_turns_purple,pale_pink,15
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),fully_ripe,green_immature,44
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),fully_ripe,over_ripe,134
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),fully_ripe,pale_pink,3
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),fully_ripe,pink_turns_purple,15
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),green_immature,fully_ripe,55
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),green_immature,over_ripe,7
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),green_immature,pale_pink,18
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),green_immature,pink_turns_purple,1
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),over_ripe,fully_ripe,77
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),over_ripe,green_immature,2
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),over_ripe,pale_pink,1
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),over_ripe,pink_turns_purple,5
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pale_pink,fully_ripe,1
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pale_pink,green_immature,17
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pale_pink,over_ripe,1
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pale_pink,pink_turns_purple,33
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pink_turns_purple,fully_ripe,33
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pink_turns_purple,green_immature,3
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pink_turns_purple,over_ripe,4
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pink_turns_purple,pale_pink,15
